problem_idx,math_verify_score,run_id
0,0,hszhsetj
1,0,hszhsetj
2,0,hszhsetj
3,0,hszhsetj
4,0,hszhsetj
5,0,hszhsetj
6,0,hszhsetj
7,0,hszhsetj
8,0,hszhsetj
9,0,hszhsetj
10,0,hszhsetj
11,0,hszhsetj
12,0,hszhsetj
13,0,hszhsetj
14,0,hszhsetj
15,0,hszhsetj
16,0,hszhsetj
17,0,hszhsetj
18,0,hszhsetj
19,0,hszhsetj
20,0,hszhsetj
21,0,hszhsetj
22,0,hszhsetj
23,0,hszhsetj
24,0,hszhsetj
25,0,hszhsetj
26,0,hszhsetj
27,0,hszhsetj
28,0,hszhsetj
29,0,hszhsetj
30,0,hszhsetj
31,0,hszhsetj
32,0,hszhsetj
33,0,hszhsetj
34,0,hszhsetj
35,0,hszhsetj
36,0,hszhsetj
37,0,hszhsetj
38,0,hszhsetj
39,0,hszhsetj
40,0,hszhsetj
41,0,hszhsetj
42,0,hszhsetj
43,0,hszhsetj
44,0,hszhsetj
45,0,hszhsetj
46,0,hszhsetj
47,0,hszhsetj
48,0,hszhsetj
49,0,hszhsetj
50,0,hszhsetj
51,0,hszhsetj
52,0,hszhsetj
53,0,hszhsetj
54,0,hszhsetj
55,0,hszhsetj
56,0,hszhsetj
57,0,hszhsetj
58,0,hszhsetj
59,0,hszhsetj
60,0,hszhsetj
61,0,hszhsetj
62,0,hszhsetj
63,0,hszhsetj
64,0,hszhsetj
65,0,hszhsetj
66,0,hszhsetj
67,0,hszhsetj
68,0,hszhsetj
69,0,hszhsetj
70,0,hszhsetj
71,0,hszhsetj
72,0,hszhsetj
73,0,hszhsetj
74,0,hszhsetj
75,0,hszhsetj
76,0,hszhsetj
77,0,hszhsetj
78,0,hszhsetj
79,0,hszhsetj
80,0,hszhsetj
81,0,hszhsetj
82,0,hszhsetj
83,0,hszhsetj
84,0,hszhsetj
85,0,hszhsetj
86,0,hszhsetj
87,0,hszhsetj
88,0,hszhsetj
89,0,hszhsetj
90,0,hszhsetj
91,0,hszhsetj
92,0,hszhsetj
93,0,hszhsetj
94,0,hszhsetj
95,0,hszhsetj
96,0,hszhsetj
97,0,hszhsetj
98,0,hszhsetj
99,0,hszhsetj
100,0,hszhsetj
101,0,hszhsetj
102,0,hszhsetj
103,0,hszhsetj
104,0,hszhsetj
105,0,hszhsetj
106,0,hszhsetj
107,0,hszhsetj
108,0,hszhsetj
109,0,hszhsetj
110,0,hszhsetj
111,0,hszhsetj
112,0,hszhsetj
113,0,hszhsetj
114,0,hszhsetj
115,0,hszhsetj
116,0,hszhsetj
117,0,hszhsetj
118,0,hszhsetj
119,0,hszhsetj
120,0,hszhsetj
121,0,hszhsetj
122,0,hszhsetj
123,0,hszhsetj
124,0,hszhsetj
125,0,hszhsetj
126,0,hszhsetj
127,0,hszhsetj
128,0,hszhsetj
129,0,hszhsetj
130,0,hszhsetj
131,0,hszhsetj
132,0,hszhsetj
133,0,hszhsetj
134,0,hszhsetj
135,0,hszhsetj
136,0,hszhsetj
137,0,hszhsetj
138,0,hszhsetj
139,0,hszhsetj
140,0,hszhsetj
141,0,hszhsetj
142,0,hszhsetj
143,0,hszhsetj
144,0,hszhsetj
145,0,hszhsetj
146,0,hszhsetj
147,0,hszhsetj
148,0,hszhsetj
149,0,hszhsetj
150,0,hszhsetj
151,0,hszhsetj
152,0,hszhsetj
153,0,hszhsetj
154,0,hszhsetj
155,0,hszhsetj
156,0,hszhsetj
157,0,hszhsetj
158,0,hszhsetj
159,0,hszhsetj
160,0,hszhsetj
161,0,hszhsetj
162,0,hszhsetj
163,0,hszhsetj
164,0,hszhsetj
165,0,hszhsetj
166,0,hszhsetj
167,0,hszhsetj
168,0,hszhsetj
169,0,hszhsetj
170,0,hszhsetj
171,0,hszhsetj
172,0,hszhsetj
173,0,hszhsetj
174,0,hszhsetj
175,0,hszhsetj
176,0,hszhsetj
177,0,hszhsetj
178,0,hszhsetj
179,0,hszhsetj
180,0,hszhsetj
181,0,hszhsetj
182,0,hszhsetj
183,0,hszhsetj
184,0,hszhsetj
185,0,hszhsetj
186,0,hszhsetj
187,0,hszhsetj
188,0,hszhsetj
189,0,hszhsetj
190,0,hszhsetj
191,0,hszhsetj
192,0,hszhsetj
193,0,hszhsetj
194,0,hszhsetj
195,0,hszhsetj
196,0,hszhsetj
197,0,hszhsetj
198,0,hszhsetj
199,0,hszhsetj
200,0,hszhsetj
201,0,hszhsetj
202,0,hszhsetj
203,0,hszhsetj
204,0,hszhsetj
205,0,hszhsetj
206,0,hszhsetj
207,0,hszhsetj
208,0,hszhsetj
209,0,hszhsetj
210,0,hszhsetj
211,0,hszhsetj
212,0,hszhsetj
213,0,hszhsetj
214,0,hszhsetj
215,0,hszhsetj
216,0,hszhsetj
217,0,hszhsetj
218,0,hszhsetj
219,0,hszhsetj
220,0,hszhsetj
221,0,hszhsetj
222,0,hszhsetj
223,0,hszhsetj
224,0,hszhsetj
225,1,hszhsetj
226,0,hszhsetj
227,0,hszhsetj
228,0,hszhsetj
229,0,hszhsetj
230,0,hszhsetj
231,0,hszhsetj
232,0,hszhsetj
233,0,hszhsetj
234,0,hszhsetj
235,0,hszhsetj
236,0,hszhsetj
237,0,hszhsetj
238,0,hszhsetj
239,0,hszhsetj
240,0,hszhsetj
241,0,hszhsetj
242,0,hszhsetj
243,0,hszhsetj
244,0,hszhsetj
245,0,hszhsetj
246,0,hszhsetj
247,0,hszhsetj
248,0,hszhsetj
249,0,hszhsetj
250,0,hszhsetj
251,0,hszhsetj
252,0,hszhsetj
253,0,hszhsetj
254,0,hszhsetj
255,0,hszhsetj
256,0,hszhsetj
257,0,hszhsetj
258,0,hszhsetj
259,0,hszhsetj
260,0,hszhsetj
261,0,hszhsetj
262,0,hszhsetj
263,0,hszhsetj
264,0,hszhsetj
265,0,hszhsetj
266,0,hszhsetj
267,0,hszhsetj
268,0,hszhsetj
269,0,hszhsetj
270,0,hszhsetj
271,0,hszhsetj
272,0,hszhsetj
273,0,hszhsetj
274,0,hszhsetj
275,0,hszhsetj
276,0,hszhsetj
277,0,hszhsetj
278,0,hszhsetj
279,0,hszhsetj
280,0,hszhsetj
281,0,hszhsetj
282,0,hszhsetj
283,0,hszhsetj
284,0,hszhsetj
285,0,hszhsetj
286,0,hszhsetj
287,0,hszhsetj
288,0,hszhsetj
289,0,hszhsetj
290,0,hszhsetj
291,0,hszhsetj
292,0,hszhsetj
293,0,hszhsetj
294,0,hszhsetj
295,0,hszhsetj
296,0,hszhsetj
297,0,hszhsetj
298,0,hszhsetj
299,0,hszhsetj
300,0,hszhsetj
301,0,hszhsetj
302,0,hszhsetj
303,0,hszhsetj
304,0,hszhsetj
305,0,hszhsetj
306,0,hszhsetj
307,0,hszhsetj
308,0,hszhsetj
309,0,hszhsetj
310,0,hszhsetj
311,0,hszhsetj
312,0,hszhsetj
313,0,hszhsetj
314,0,hszhsetj
