problem_idx,math_verify_score,has_boxed,run_id
0,0,0,ii0zkp9j
1,0,0,ii0zkp9j
2,0,0,ii0zkp9j
3,0,0,ii0zkp9j
4,0,0,ii0zkp9j
5,0,0,ii0zkp9j
6,0,0,ii0zkp9j
7,0,0,ii0zkp9j
8,0,0,ii0zkp9j
9,0,0,ii0zkp9j
10,0,0,ii0zkp9j
11,0,0,ii0zkp9j
12,0,0,ii0zkp9j
13,0,0,ii0zkp9j
14,0,0,ii0zkp9j
15,0,0,ii0zkp9j
16,0,0,ii0zkp9j
17,0,0,ii0zkp9j
18,0,0,ii0zkp9j
19,0,0,ii0zkp9j
20,0,0,ii0zkp9j
21,0,0,ii0zkp9j
22,0,0,ii0zkp9j
23,0,0,ii0zkp9j
24,0,0,ii0zkp9j
25,0,0,ii0zkp9j
26,0,0,ii0zkp9j
27,0,0,ii0zkp9j
28,0,0,ii0zkp9j
29,0,0,ii0zkp9j
30,0,0,ii0zkp9j
31,0,0,ii0zkp9j
32,0,0,ii0zkp9j
33,0,0,ii0zkp9j
34,0,0,ii0zkp9j
35,0,0,ii0zkp9j
36,0,0,ii0zkp9j
37,0,0,ii0zkp9j
38,0,0,ii0zkp9j
39,0,0,ii0zkp9j
40,0,0,ii0zkp9j
41,0,0,ii0zkp9j
42,0,0,ii0zkp9j
43,0,0,ii0zkp9j
44,0,0,ii0zkp9j
45,0,0,ii0zkp9j
46,0,0,ii0zkp9j
47,0,0,ii0zkp9j
48,0,0,ii0zkp9j
49,0,0,ii0zkp9j
50,0,0,ii0zkp9j
51,0,0,ii0zkp9j
52,0,0,ii0zkp9j
53,0,0,ii0zkp9j
54,0,0,ii0zkp9j
55,0,0,ii0zkp9j
56,0,0,ii0zkp9j
57,0,0,ii0zkp9j
58,0,0,ii0zkp9j
59,0,0,ii0zkp9j
60,0,0,ii0zkp9j
61,0,0,ii0zkp9j
62,0,0,ii0zkp9j
63,0,0,ii0zkp9j
64,0,0,ii0zkp9j
65,0,0,ii0zkp9j
66,0,0,ii0zkp9j
67,0,0,ii0zkp9j
68,0,0,ii0zkp9j
69,0,0,ii0zkp9j
70,0,0,ii0zkp9j
71,0,0,ii0zkp9j
72,0,0,ii0zkp9j
73,0,0,ii0zkp9j
74,0,0,ii0zkp9j
75,0,0,ii0zkp9j
76,0,0,ii0zkp9j
77,0,0,ii0zkp9j
78,0,0,ii0zkp9j
79,0,0,ii0zkp9j
80,0,0,ii0zkp9j
81,0,0,ii0zkp9j
82,0,0,ii0zkp9j
83,0,0,ii0zkp9j
84,0,0,ii0zkp9j
85,0,0,ii0zkp9j
86,0,0,ii0zkp9j
87,0,0,ii0zkp9j
88,0,0,ii0zkp9j
89,0,0,ii0zkp9j
90,0,0,ii0zkp9j
91,0,0,ii0zkp9j
92,0,0,ii0zkp9j
93,0,0,ii0zkp9j
94,0,0,ii0zkp9j
95,0,0,ii0zkp9j
96,0,0,ii0zkp9j
97,0,0,ii0zkp9j
98,0,0,ii0zkp9j
99,0,0,ii0zkp9j
100,0,0,ii0zkp9j
101,0,0,ii0zkp9j
102,0,0,ii0zkp9j
103,0,0,ii0zkp9j
104,0,0,ii0zkp9j
105,0,0,ii0zkp9j
106,0,0,ii0zkp9j
107,0,0,ii0zkp9j
108,0,0,ii0zkp9j
109,0,0,ii0zkp9j
110,0,0,ii0zkp9j
111,0,0,ii0zkp9j
112,0,0,ii0zkp9j
113,0,0,ii0zkp9j
114,0,0,ii0zkp9j
115,0,0,ii0zkp9j
116,0,0,ii0zkp9j
117,0,0,ii0zkp9j
118,0,0,ii0zkp9j
119,0,0,ii0zkp9j
120,0,0,ii0zkp9j
121,0,0,ii0zkp9j
122,0,0,ii0zkp9j
123,0,0,ii0zkp9j
124,0,0,ii0zkp9j
125,0,0,ii0zkp9j
126,0,0,ii0zkp9j
127,0,0,ii0zkp9j
128,0,0,ii0zkp9j
129,0,0,ii0zkp9j
130,0,0,ii0zkp9j
131,0,0,ii0zkp9j
132,0,0,ii0zkp9j
133,0,0,ii0zkp9j
134,0,0,ii0zkp9j
135,0,0,ii0zkp9j
136,0,0,ii0zkp9j
137,0,0,ii0zkp9j
138,0,0,ii0zkp9j
139,0,0,ii0zkp9j
140,0,0,ii0zkp9j
141,0,0,ii0zkp9j
142,0,0,ii0zkp9j
143,0,0,ii0zkp9j
144,0,0,ii0zkp9j
145,0,0,ii0zkp9j
146,0,0,ii0zkp9j
147,0,0,ii0zkp9j
148,0,0,ii0zkp9j
149,0,0,ii0zkp9j
150,0,0,ii0zkp9j
151,0,0,ii0zkp9j
152,0,0,ii0zkp9j
153,0,0,ii0zkp9j
154,0,0,ii0zkp9j
155,0,0,ii0zkp9j
156,0,0,ii0zkp9j
157,0,0,ii0zkp9j
158,0,0,ii0zkp9j
159,0,0,ii0zkp9j
160,0,0,ii0zkp9j
161,0,0,ii0zkp9j
162,0,0,ii0zkp9j
163,0,0,ii0zkp9j
164,0,0,ii0zkp9j
165,0,0,ii0zkp9j
166,0,0,ii0zkp9j
167,0,0,ii0zkp9j
168,0,0,ii0zkp9j
169,0,0,ii0zkp9j
170,0,0,ii0zkp9j
171,0,0,ii0zkp9j
172,0,0,ii0zkp9j
173,0,0,ii0zkp9j
174,0,0,ii0zkp9j
